country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot_cases,deaths,total_tests,tests,cases_per_test,death_in_closed_cases,rank_by_testing_rate,rank_by_death_rate,rank_by_cases_rate,rank_by_death_of_closed_cases,top_death,top_test,country_name
Kuwait,78767.0,622.0,509.0,2.0,70642.0,7616.0,94.0,18407.0,119.0,577588.0,134980.0,4279075.0,0.72%,35.0,46.0,7.0,178.0,70,49,Kuwait
Kyrgyzstan,42507.0,182.0,1498.0,0.0,35486.0,5523.0,24.0,6501.0,229.0,267718.0,40944.0,6538600.0,4.05%,101.0,28.0,38.0,83.0,160,104,Kyrgyzstan
Laos,22.0,,,,19.0,3.0,,3.0,,35428.0,4860.0,7289790.0,,173.0,,214.0,,193,79,Laos
Latvia,1327.0,1.0,33.0,,1093.0,201.0,,705.0,18.0,232918.0,123686.0,1883144.0,2.93%,41.0,114.0,133.0,107.0,96,111,Latvia
Lebanon,10952.0,605.0,113.0,4.0,3040.0,7799.0,72.0,1606.0,17.0,443709.0,65050.0,6821056.0,3.58%,70.0,118.0,100.0,86.0,176,67,Lebanon
Lesotho,996.0,50.0,30.0,,423.0,543.0,,464.0,14.0,12033.0,5611.0,2144591.0,6.62%,169.0,128.0,153.0,39.0,103,176,Lesotho
Liberia,1284.0,2.0,82.0,,803.0,399.0,,253.0,16.0,,,5073177.0,9.27%,,122.0,170.0,26.0,13,196,Liberia
Libya,9707.0,244.0,173.0,4.0,1047.0,8487.0,,1410.0,25.0,88492.0,12855.0,6883928.0,14.18%,144.0,103.0,105.0,14.0,145,8,Libya
Liechtenstein,99.0,1.0,1.0,,88.0,10.0,,2595.0,26.0,900.0,23595.0,38143.0,1.12%,124.0,101.0,87.0,165.0,185,6,Liechtenstein
Lithuania,2528.0,32.0,82.0,1.0,1747.0,699.0,6.0,931.0,30.0,594478.0,218825.0,2716679.0,4.48%,20.0,98.0,125.0,70.0,13,46,Lithuania
Luxembourg,7637.0,71.0,124.0,,6903.0,610.0,3.0,12174.0,198.0,706629.0,1126386.0,627342.0,1.76%,4.0,32.0,16.0,148.0,172,27,Luxembourg
MS Zaandam,9.0,,2.0,,,7.0,,,,,,,100.00%,,,,1.0,132,196,MS Zaandam
Macao,46.0,,,,46.0,0.0,,71.0,,4071.0,6258.0,650532.0,,167.0,,195.0,,193,73,Macao
Madagascar,14154.0,80.0,177.0,4.0,13038.0,939.0,83.0,509.0,6.0,53954.0,1942.0,27783027.0,1.34%,183.0,148.0,150.0,161.0,144,54,Madagascar
Malawi,5282.0,42.0,165.0,1.0,2883.0,2234.0,4.0,275.0,9.0,41026.0,2137.0,19193810.0,5.41%,181.0,137.0,168.0,54.0,150,72,Malawi
Malaysia,9240.0,5.0,125.0,,8932.0,183.0,7.0,285.0,4.0,1152140.0,35535.0,32422234.0,1.38%,105.0,162.0,167.0,160.0,170,181,Malaysia
Maldives,6370.0,145.0,24.0,,3915.0,2431.0,12.0,11757.0,44.0,100233.0,184996.0,541813.0,0.61%,25.0,84.0,17.0,185.0,121,191,Maldives
Mali,2667.0,,125.0,,1993.0,549.0,,131.0,6.0,32716.0,1610.0,20325303.0,5.90%,187.0,148.0,188.0,45.0,170,89,Mali
Malta,1510.0,40.0,9.0,,802.0,699.0,,3419.0,20.0,166348.0,376602.0,441708.0,1.11%,13.0,112.0,75.0,168.0,8,144,Malta
Martinique,336.0,,16.0,,98.0,222.0,2.0,895.0,43.0,12227.0,32586.0,375224.0,14.04%,112.0,85.0,127.0,15.0,154,173,Martinique
Mauritania,6848.0,19.0,158.0,,6123.0,567.0,3.0,1468.0,34.0,68872.0,14762.0,4665419.0,2.52%,138.0,93.0,103.0,118.0,155,31,Mauritania
Mauritius,346.0,,10.0,,334.0,2.0,,272.0,8.0,205285.0,161379.0,1272065.0,2.91%,32.0,141.0,169.0,109.0,183,122,Mauritius
Mayotte,3160.0,,39.0,,2964.0,157.0,1.0,11547.0,143.0,13000.0,47502.0,273671.0,1.30%,89.0,41.0,18.0,162.0,87,169,Mayotte
Mexico,537031.0,5792.0,58481.0,707.0,367537.0,111013.0,3480.0,4159.0,453.0,1211552.0,9383.0,129117943.0,13.73%,153.0,13.0,57.0,16.0,53,174,Mexico
Moldova,31937.0,522.0,921.0,7.0,21885.0,9131.0,362.0,7920.0,228.0,183923.0,45609.0,4032626.0,4.04%,93.0,29.0,30.0,84.0,6,133,Moldova
Monaco,150.0,2.0,4.0,,115.0,31.0,1.0,3819.0,102.0,51953.0,1322632.0,39280.0,3.36%,3.0,53.0,62.0,90.0,85,55,Monaco
Mongolia,298.0,,,,281.0,17.0,1.0,91.0,,46332.0,14103.0,3285365.0,,139.0,,192.0,,193,64,Mongolia
Montenegro,4229.0,55.0,81.0,1.0,3186.0,962.0,,6733.0,129.0,44219.0,70404.0,628077.0,2.48%,68.0,44.0,36.0,122.0,17,68,Montenegro
Montserrat,13.0,,1.0,,12.0,0.0,,2604.0,200.0,61.0,12220.0,4992.0,7.69%,145.0,31.0,86.0,32.0,185,43,Montserrat
Morocco,47638.0,1325.0,775.0,32.0,32806.0,14057.0,31.0,1289.0,21.0,1670569.0,45187.0,36970089.0,2.31%,94.0,111.0,110.0,129.0,22,143,Morocco
Mozambique,3115.0,70.0,20.0,1.0,1380.0,1715.0,,99.0,0.6,82264.0,2623.0,31367587.0,1.43%,178.0,182.0,191.0,158.0,130,15,Mozambique
Myanmar,399.0,5.0,6.0,,333.0,60.0,,7.0,0.1,141044.0,2590.0,54460318.0,1.77%,179.0,189.0,213.0,147.0,50,157,Myanmar
Namibia,4912.0,247.0,41.0,2.0,2442.0,2429.0,18.0,1929.0,16.0,45744.0,17960.0,2547027.0,1.65%,131.0,122.0,92.0,150.0,81,65,Namibia
Nepal,29645.0,707.0,126.0,6.0,17964.0,11555.0,,1015.0,4.0,878622.0,30083.0,29206558.0,0.70%,116.0,162.0,118.0,179.0,169,9,Nepal
Netherlands,65054.0,529.0,6191.0,10.0,0.0,0.0,51.0,3795.0,361.0,1312787.0,76591.0,17140202.0,100.00%,63.0,17.0,63.0,1.0,45,168,Netherlands
New Caledonia,23.0,,,,22.0,1.0,,80.0,,11838.0,41410.0,285874.0,,99.0,,194.0,,193,179,New Caledonia
New Zealand,1654.0,5.0,22.0,,1531.0,101.0,6.0,331.0,4.0,657506.0,131446.0,5002100.0,1.42%,38.0,162.0,160.0,159.0,126,35,New Zealand
Nicaragua,4311.0,,133.0,,2913.0,1265.0,,650.0,20.0,,,6635277.0,4.37%,,112.0,139.0,74.0,165,196,Nicaragua
Niger,1169.0,2.0,69.0,,1082.0,18.0,,48.0,3.0,9052.0,372.0,24315155.0,5.99%,193.0,169.0,202.0,43.0,30,5,Niger
Nigeria,50964.0,476.0,992.0,7.0,37569.0,12403.0,7.0,246.0,5.0,352625.0,1705.0,206802324.0,2.57%,185.0,155.0,173.0,115.0,2,81,Nigeria
North Macedonia,13194.0,118.0,554.0,3.0,9752.0,2888.0,4.0,6333.0,266.0,132493.0,63596.0,2083362.0,5.38%,75.0,24.0,40.0,56.0,56,167,North Macedonia
Norway,10197.0,35.0,264.0,2.0,9150.0,783.0,1.0,1879.0,49.0,588550.0,108447.0,5427090.0,2.80%,49.0,82.0,93.0,112.0,114,48,Norway
Oman,83769.0,163.0,609.0,6.0,78386.0,4774.0,151.0,16350.0,119.0,309212.0,60353.0,5123430.0,0.77%,79.0,46.0,11.0,174.0,47,91,Oman
Pakistan,290958.0,513.0,6209.0,8.0,272804.0,11945.0,725.0,1314.0,28.0,2363752.0,10673.0,221460187.0,2.23%,148.0,100.0,109.0,134.0,41,109,Pakistan
Palestine,17989.0,383.0,120.0,1.0,10682.0,7187.0,,3516.0,23.0,214862.0,41991.0,5116888.0,1.11%,98.0,107.0,71.0,167.0,173,117,Palestine
Panama,83855.0,101.0,1844.0,17.0,59174.0,22837.0,154.0,19393.0,426.0,287300.0,66445.0,4323882.0,3.02%,69.0,14.0,6.0,101.0,139,100,Panama
Papua New Guinea,361.0,14.0,4.0,1.0,198.0,159.0,,40.0,0.4,14439.0,1610.0,8969502.0,1.98%,187.0,184.0,203.0,141.0,85,155,Papua New Guinea
Paraguay,11817.0,684.0,170.0,5.0,6783.0,4864.0,63.0,1654.0,24.0,166110.0,23250.0,7144441.0,2.44%,125.0,104.0,97.0,126.0,146,145,Paraguay
Peru,567059.0,8639.0,27034.0,200.0,380730.0,159295.0,1519.0,17166.0,818.0,2852011.0,86336.0,33033892.0,6.63%,58.0,3.0,9.0,38.0,111,101,Peru
Philippines,177579.0,3896.0,2881.0,86.0,113903.0,60795.0,717.0,1618.0,26.0,2193448.0,19981.0,109778515.0,2.47%,129.0,101.0,99.0,124.0,109,115,Philippines
Poland,59378.0,767.0,1925.0,12.0,40481.0,16972.0,85.0,1569.0,51.0,2409394.0,63672.0,37840722.0,4.54%,74.0,78.0,101.0,66.0,137,107,Poland
Portugal,54992.0,291.0,1788.0,2.0,40264.0,12940.0,39.0,5395.0,175.0,1880235.0,184473.0,10192461.0,4.25%,26.0,34.0,49.0,80.0,141,132,Portugal
Qatar,116224.0,268.0,193.0,,112924.0,3107.0,64.0,41393.0,69.0,572273.0,203815.0,2807805.0,0.17%,23.0,65.0,1.0,191.0,136,50,Qatar
Romania,74963.0,1346.0,3154.0,48.0,34196.0,37613.0,489.0,3900.0,164.0,1591015.0,82783.0,19219141.0,8.44%,60.0,35.0,61.0,28.0,99,147,Romania
Russia,942106.0,4785.0,16099.0,110.0,755513.0,170494.0,2300.0,6455.0,110.0,33500000.0,229541.0,145943309.0,2.09%,17.0,49.0,39.0,140.0,152,95,Russia
Rwanda,2717.0,73.0,11.0,1.0,1705.0,1001.0,,209.0,0.8,351383.0,27042.0,12993865.0,0.64%,118.0,180.0,179.0,182.0,179,82,Rwanda
Réunio,996.0,51.0,5.0,,657.0,334.0,3.0,1111.0,6.0,35419.0,39521.0,896196.0,0.76%,104.0,148.0,115.0,176.0,71,80,Réunio
S. Korea,16346.0,288.0,307.0,1.0,14063.0,1976.0,12.0,319.0,6.0,1734083.0,33819.0,51275415.0,2.14%,111.0,148.0,162.0,137.0,101,138,S. Korea
Saint Kitts and Nevis,17.0,,,,17.0,0.0,,319.0,,1385.0,26009.0,53251.0,,120.0,,162.0,,193,159,Saint Kitts and Nevis
Saint Lucia,26.0,,,,25.0,1.0,,142.0,,4946.0,26918.0,183744.0,,119.0,,186.0,,193,58,Saint Lucia
Saint Martin,121.0,,5.0,,49.0,67.0,1.0,3122.0,129.0,2449.0,63193.0,38754.0,9.26%,76.0,44.0,77.0,27.0,71,106,Saint Martin
Saint Pierre Miquelon,5.0,,,,1.0,4.0,,864.0,,,,5790.0,,,,128.0,,193,196,Saint Pierre Miquelon
San Marino,704.0,,42.0,,657.0,5.0,,20742.0,1237.0,6511.0,191833.0,33941.0,6.01%,24.0,1.0,4.0,42.0,79,36,San Marino
Sao Tome and Principe,888.0,3.0,15.0,,829.0,44.0,,4042.0,68.0,3432.0,15621.0,219700.0,1.78%,137.0,66.0,59.0,145.0,158,85,Sao Tome and Principe
Saudi Arabia,303973.0,1287.0,3548.0,42.0,275476.0,24949.0,1682.0,8713.0,102.0,4501104.0,129021.0,34886672.0,1.27%,39.0,53.0,24.0,163.0,92,66,Saudi Arabia
Senegal,12559.0,113.0,261.0,3.0,8050.0,4248.0,39.0,748.0,16.0,134349.0,7997.0,16800813.0,3.14%,159.0,122.0,132.0,98.0,115,166,Senegal
Serbia,30209.0,161.0,689.0,5.0,27908.0,1612.0,52.0,3459.0,79.0,842441.0,96474.0,8732325.0,2.41%,54.0,60.0,73.0,127.0,32,13,Serbia
Seychelles,132.0,,,,126.0,6.0,,1341.0,,,,98431.0,,,,107.0,,193,196,Seychelles
Sierra Leone,1969.0,8.0,69.0,,1536.0,364.0,,246.0,9.0,,,7998386.0,4.30%,,137.0,173.0,79.0,30,196,Sierra Leone
Singapore,56099.0,68.0,27.0,0.0,53119.0,2953.0,,9579.0,5.0,1745928.0,298108.0,5856690.0,0.05%,15.0,155.0,22.0,192.0,112,136,Singapore
Sint Maarten,348.0,15.0,17.0,,133.0,198.0,3.0,8104.0,396.0,1983.0,46179.0,42942.0,11.33%,92.0,15.0,29.0,18.0,147,125,Sint Maarten
Slovakia,3102.0,80.0,33.0,,2014.0,1055.0,8.0,568.0,6.0,304021.0,55681.0,5460016.0,1.61%,83.0,148.0,142.0,151.0,96,93,Slovakia
Slovenia,2536.0,43.0,129.0,,2079.0,328.0,3.0,1220.0,62.0,147091.0,70752.0,2078978.0,5.84%,66.0,71.0,112.0,46.0,167,153,Slovenia
Somalia,3265.0,,93.0,,2396.0,776.0,,205.0,6.0,,,15950038.0,3.74%,,148.0,180.0,85.0,4,196,Somalia
South Africa,599940.0,3880.0,12618.0,195.0,497169.0,90153.0,539.0,10098.0,212.0,3480283.0,58581.0,59410167.0,2.48%,82.0,30.0,20.0,123.0,168,83,South Africa
South Sudan,2494.0,,47.0,,1290.0,1157.0,,222.0,4.0,12044.0,1074.0,11211590.0,3.52%,191.0,162.0,175.0,87.0,75,175,South Sudan
Spain,404229.0,3349.0,28813.0,16.0,0.0,0.0,522.0,8645.0,616.0,7955615.0,170147.0,46757339.0,100.00%,29.0,5.0,25.0,1.0,108,20,Spain
Sri Lanka,2918.0,16.0,11.0,,2765.0,142.0,1.0,136.0,0.5,195025.0,9102.0,21425788.0,0.40%,154.0,183.0,187.0,189.0,179,127,Sri Lanka
St. Barth,16.0,,,,9.0,7.0,,1619.0,,1699.0,171946.0,9881.0,,28.0,,98.0,,193,139,St. Barth
St. Vincent Grenadines,58.0,,,,56.0,2.0,,523.0,,3033.0,27327.0,110989.0,,117.0,,148.0,,193,94,St. Vincent Grenadines
Sudan,12582.0,36.0,812.0,4.0,6456.0,5314.0,,286.0,18.0,401.0,9.0,43982802.0,11.17%,194.0,114.0,166.0,19.0,16,74,Sudan
Suriname,3366.0,71.0,55.0,1.0,2383.0,928.0,20.0,5731.0,94.0,5889.0,10026.0,587354.0,2.26%,151.0,56.0,45.0,131.0,57,47,Suriname
Sweden,85810.0,,5805.0,5.0,0.0,0.0,27.0,8489.0,574.0,1030010.0,101900.0,10108001.0,100.00%,53.0,8.0,26.0,1.0,54,189,Sweden
Switzerland,39026.0,266.0,1998.0,2.0,33900.0,3128.0,15.0,4505.0,231.0,910283.0,105073.0,8663370.0,5.57%,50.0,27.0,54.0,51.0,134,4,Switzerland
Syria,2008.0,81.0,82.0,4.0,460.0,1466.0,,114.0,5.0,,,17555909.0,15.13%,,155.0,189.0,11.0,13,196,Syria
Taiwan,486.0,,7.0,,457.0,22.0,,20.0,0.3,85563.0,3592.0,23822843.0,1.51%,176.0,187.0,207.0,156.0,27,11,Taiwan
Tajikistan,8203.0,37.0,66.0,1.0,7006.0,1131.0,,858.0,7.0,,,9565683.0,0.93%,,146.0,129.0,170.0,33,196,Tajikistan
Tanzania,509.0,,21.0,,183.0,305.0,7.0,8.0,0.4,,,59951725.0,10.29%,,184.0,212.0,23.0,128,196,Tanzania
Thailand,3389.0,7.0,58.0,,3218.0,113.0,1.0,49.0,0.8,749213.0,10730.0,69824575.0,1.77%,147.0,180.0,201.0,146.0,55,23,Thailand
Timor-Leste,25.0,,,,25.0,0.0,,19.0,,4238.0,3206.0,1321774.0,,177.0,,208.0,,193,71,Timor-Leste
Togo,1212.0,22.0,27.0,,878.0,307.0,2.0,146.0,3.0,55741.0,6713.0,8304024.0,2.98%,164.0,169.0,185.0,102.0,112,52,Togo
Trinidad and Tobago,767.0,81.0,12.0,,140.0,615.0,3.0,548.0,9.0,18036.0,12882.0,1400123.0,7.89%,143.0,137.0,145.0,31.0,174,134,Trinidad and Tobago
Tunisia,2543.0,116.0,63.0,3.0,1397.0,1083.0,8.0,215.0,5.0,119193.0,10071.0,11835528.0,4.32%,149.0,155.0,177.0,78.0,37,178,Tunisia
Turkey,254520.0,1412.0,6058.0,19.0,234797.0,13665.0,735.0,3013.0,72.0,6061930.0,71770.0,84463026.0,2.52%,65.0,63.0,79.0,119.0,49,44,Turkey
Turks and Caicos,327.0,12.0,2.0,,56.0,269.0,3.0,8430.0,52.0,1940.0,50015.0,38788.0,3.45%,88.0,77.0,27.0,89.0,132,128,Turks and Caicos
UAE,65802.0,461.0,369.0,2.0,58153.0,7280.0,,6642.0,37.0,6265918.0,632496.0,9906649.0,0.63%,7.0,89.0,37.0,183.0,91,41,UAE
UK,322280.0,1182.0,41403.0,6.0,0.0,0.0,70.0,4744.0,609.0,15177265.0,223407.0,67935641.0,100.00%,18.0,6.0,53.0,1.0,80,193,UK
USA,5746272.0,45341.0,177424.0,1090.0,3095484.0,2473364.0,16817.0,17346.0,536.0,73868332.0,222984.0,331272237.0,5.42%,19.0,10.0,8.0,53.0,143,28,USA
Uganda,1750.0,94.0,19.0,3.0,1194.0,537.0,,38.0,0.4,336713.0,7332.0,45923374.0,1.57%,162.0,184.0,204.0,153.0,138,87,Uganda
Ukraine,98537.0,2134.0,2184.0,40.0,50441.0,45912.0,177.0,2255.0,50.0,1356698.0,31049.0,43695861.0,4.15%,113.0,80.0,88.0,81.0,127,164,Ukraine
Uruguay,1506.0,13.0,41.0,1.0,1242.0,223.0,3.0,433.0,12.0,154431.0,44435.0,3475415.0,3.20%,95.0,132.0,155.0,96.0,81,148,Uruguay
Uzbekistan,37547.0,435.0,252.0,4.0,33261.0,4034.0,410.0,1120.0,8.0,1377915.0,41089.0,33534589.0,0.75%,100.0,141.0,114.0,177.0,117,161,Uzbekistan
Vatican City,12.0,,,,12.0,0.0,,14981.0,,,,801.0,,,,12.0,,193,196,Vatican City
Venezuela,37567.0,699.0,311.0,8.0,26330.0,10926.0,85.0,1322.0,11.0,1678639.0,59056.0,28424431.0,1.17%,80.0,133.0,108.0,164.0,100,142,Venezuela
Vietnam,1007.0,13.0,25.0,,542.0,440.0,,10.0,0.3,817208.0,8385.0,97458937.0,4.41%,157.0,187.0,211.0,71.0,119,17,Vietnam
Western Sahara,10.0,,1.0,,8.0,1.0,,17.0,2.0,,,599245.0,11.11%,,176.0,209.0,21.0,185,196,Western Sahara
World,22849844.0,267351.0,796376.0,6186.0,15508345.0,6545123.0,61822.0,2931.0,102.2,,,,4.88%,,52.0,80.0,61.0,20,196,World
Yemen,1899.0,7.0,541.0,2.0,1058.0,300.0,,63.0,18.0,120.0,4.0,29912082.0,33.83%,195.0,114.0,196.0,7.0,60,177,Yemen
Zambia,10372.0,154.0,274.0,5.0,9126.0,972.0,,562.0,15.0,103023.0,5584.0,18449899.0,2.91%,171.0,125.0,143.0,108.0,110,188,Zambia
Zimbabwe,5745.0,102.0,151.0,1.0,4525.0,1069.0,,386.0,10.0,149748.0,10056.0,14892083.0,3.23%,150.0,134.0,157.0,95.0,156,151,Zimbabwe
